Ver. 1.0					
double	double	double	double	double	double #
224	222	224	225	224	393
224	222	223	225	223	434
224	222	223	225	223	443
224	222	223	225	223	451
224	222	223	225	223	455
224	221	223	225	223	453
225	221	223	225	223	460
224	222	223	225	223	459
224	221	223	225	223	464
224	221	223	225	223	475
224	221	223	225	223	494
224	221	223	225	223	489
224	221	222	225	223	487
224	221	223	225	224	482
224	222	223	225	223	456
225	222	223	225	223	453
224	222	223	225	223	451
224	222	223	225	223	451
224	221	223	225	223	463
224	223	223	225	223	460
224	222	223	225	223	466
224	221	223	225	223	472
224	222	223	225	223	467
224	222	223	225	223	469
224	221	223	225	223	478
224	222	223	225	223	467
224	222	223	225	224	433
224	222	223	225	224	432
224	222	223	225	223	451
224	223	223	225	223	429
224	222	223	225	224	413
224	223	224	225	223	380
224	222	224	225	224	388
224	222	224	225	224	377
224	223	224	226	224	346
224	222	224	226	224	328
224	222	224	226	224	330
224	222	224	226	224	344
224	223	224	225	224	354
224	222	224	226	224	355
224	222	224	225	224	371
224	222	224	225	224	398
223	223	223	225	224	409
223	222	223	225	223	420
223	222	223	225	223	465
223	221	223	225	223	494
223	221	223	224	223	518
223	222	223	225	224	532
223	222	223	225	224	549
223	222	223	225	223	558
224	222	223	225	224	569
223	222	223	225	224	583
223	222	224	226	224	606
223	222	224	226	224	616
224	222	224	226	224	625
224	222	224	225	224	627
224	223	224	226	224	628
224	222	224	225	224	631
224	222	224	226	224	621
224	222	224	225	223	588
224	222	223	225	224	540
223	222	223	225	223	514
225	222	223	225	223	477
224	222	223	225	223	425
224	222	223	225	224	399
224	222	224	226	224	356
223	222	224	226	224	321
224	223	224	226	224	281
225	223	224	226	225	242
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	224	223
223	222	224	226	224	224
224	223	224	226	225	223
225	223	224	226	225	223
224	223	224	226	224	222
224	224	224	226	225	223
224	223	224	226	225	224
224	222	224	226	225	224
225	222	224	226	225	223
223	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
225	222	224	226	224	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	224
224	222	224	226	225	223
224	224	224	226	225	223
223	223	224	226	224	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	224	223
224	223	224	226	224	223
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	224	224
224	224	224	226	225	223
224	223	224	226	224	224
224	224	224	226	225	224
224	223	224	226	225	223
223	223	224	225	225	224
224	223	224	226	225	223
224	223	224	226	224	224
223	223	224	226	225	224
223	223	224	226	224	223
223	223	224	226	225	224
223	223	224	226	225	223
223	223	224	226	225	223
223	223	224	226	225	224
223	225	224	226	224	224
223	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	225	223
223	223	224	226	224	224
223	223	224	226	225	223
223	223	224	226	225	224
223	223	224	226	224	223
223	223	224	226	225	223
223	223	224	226	225	223
223	222	224	226	225	223
223	222	224	226	225	223
223	223	224	226	224	224
224	224	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	224	223
224	224	224	226	225	224
224	224	224	226	245	223
224	221	223	225	489	241
224	221	222	224	505	355
224	221	222	224	499	329
224	221	223	224	485	330
223	221	222	224	493	332
224	221	222	224	501	321
224	222	222	224	501	314
224	221	223	224	487	277
224	221	223	225	479	258
224	222	223	225	445	244
223	222	223	225	421	223
224	222	223	225	406	223
224	223	224	226	340	222
224	222	224	226	299	223
224	223	224	229	280	224
224	223	224	267	224	224
223	222	224	285	224	223
225	222	224	297	224	223
223	223	224	300	224	223
223	222	224	311	224	224
223	223	224	322	224	223
223	222	224	334	224	223
223	222	224	349	224	223
224	222	224	358	224	222
223	222	224	364	224	223
223	222	224	369	224	223
223	222	224	362	235	222
223	222	224	348	279	223
223	222	223	318	353	223
224	222	223	277	399	222
223	222	223	225	432	222
222	222	223	225	424	222
222	222	223	225	432	223
222	222	223	225	402	222
223	222	224	225	371	223
223	222	224	226	346	223
223	222	224	226	326	223
223	222	224	226	339	222
223	222	224	246	334	223
223	222	224	279	295	223
223	222	224	279	273	223
224	223	224	298	260	223
223	223	224	317	253	223
